,val_wer,val_cer,test_wer,test_cer
"(k=1,features=MFCC,dist=euclidean,preprocess=speaker_normalization)",0.916404794,0.736487227,0.90746337,0.679725616
"(k=3,features=Mel,dist=euclidean,preprocess=None)",0.968601954,0.861385883,0.995208819,0.834624336
"(k=1,features=Mel,dist=euclidean,preprocess=None)",0.983994602,0.87566566,1.001804808,0.842409082
"(k=1,features=MFCC,dist=euclidean,preprocess=None)",0.874625345,0.678006266,0.875531989,0.676544393
"(k=3,features=MFCC,dist=euclidean,preprocess=speaker_normalization)",0.905373691,0.724393688,0.892152484,0.667773461
"(k=3,features=MFCC,dist=euclidean,preprocess=None)",0.851596941,0.659068428,0.86085278,0.668728495
"(k=3,features=MFCC,dist=euclidean,preprocess=features_normalization)",1.024699891,0.874420439,1.045517623,0.812692871
"(k=1,features=MFCC,dist=euclidean,preprocess=features_normalization)",1.02620365,0.878391199,1.045334473,0.811983294
"(k=1,features=Mel,dist=dtw,preprocess=None)",0.980928604,0.914635922,0.966990734,0.915709441
"(k=3,features=Mel,dist=dtw,preprocess=None)",0.968677142,0.920732053,0.971001723,0.907282192
"(k=3,features=MFCC,dist=dtw,preprocess=None)",0.838931945,0.768380978,0.88018029,0.764922558
"(k=1,features=MFCC,dist=dtw,preprocess=None)",0.849090675,0.774456633,0.892793232,0.777470268
"(k=3,features=MFCC,dist=dtw,preprocess=features_normalization)",1.047043249,0.887393539,1.082227858,0.848089223
"(k=1,features=MFCC,dist=dtw,preprocess=features_normalization)",1.04959964,0.887010079,1.080741289,0.847679837
"(k=5,features=Mel,dist=euclidean,preprocess=None)",0.93743654,0.840852606,0.973354423,0.81151099
"(k=5,features=MFCC,dist=euclidean,preprocess=speaker_normalization)",0.906275946,0.736228282,0.887834911,0.673706697
"(k=5,features=MFCC,dist=euclidean,preprocess=None)",0.842294518,0.650261825,0.838716028,0.640937743
"(k=5,features=MFCC,dist=euclidean,preprocess=features_normalization)",1.012711587,0.867487563,1.028864693,0.782720671
"(k=5,features=Mel,dist=dtw,preprocess=None)",0.931714543,0.887597636,0.967076204,0.895384784
"(k=3,features=MFCC,dist=dtw,preprocess=speaker_normalization)",0.965941135,0.817325613,0.868680177,0.687710249
"(k=1,features=MFCC,dist=dtw,preprocess=speaker_normalization)",0.970105713,0.809894692,0.888482821,0.697157859
"(k=5,features=MFCC,dist=dtw,preprocess=features_normalization)",1.040342523,0.906845745,1.086031276,0.848033234
"(k=11,features=Mel,dist=euclidean,preprocess=None)",0.896079622,0.778168026,0.941622405,0.740195264
"(k=5,features=MFCC,dist=dtw,preprocess=None)",0.832662104,0.742978284,0.854483262,0.722590734
"(k=11,features=Mel,dist=dtw,preprocess=features_normalization)",1.030300752,1.020427937,1.073296234,0.965856365
"(k=11,features=Mel,dist=dtw,preprocess=None)",0.931053917,0.894331872,0.939585639,0.876269454
"(k=11,features=MFCC,dist=dtw,preprocess=features_normalization)",1.030300752,1.020427937,1.073296234,0.965856365
"(k=11,features=MFCC,dist=euclidean,preprocess=speaker_normalization)",0.889036373,0.728690285,0.862147788,0.655616491
"(k=11,features=MFCC,dist=euclidean,preprocess=features_normalization)",1.006312255,0.83185706,1.025331421,0.760832567
"(k=11,features=MFCC,dist=euclidean,preprocess=None)",0.819754836,0.619694619,0.817276025,0.605932707
"(k=15,features=Mel,dist=euclidean,preprocess=None)",0.891944284,0.747843486,0.947376843,0.753304864
"(k=5,features=MFCC,dist=dtw,preprocess=speaker_normalization)",0.944872438,0.810121773,0.838106306,0.660087192
"(k=15,features=MFCC,dist=euclidean,preprocess=speaker_normalization)",0.89800045,0.731281863,0.859797083,0.657124161
"(k=15,features=MFCC,dist=euclidean,preprocess=features_normalization)",0.988288028,0.842911523,1.017438395,0.774772693
"(k=15,features=Mel,dist=dtw,preprocess=None)",0.942884133,0.90788839,0.924958044,0.85713956
"(k=15,features=MFCC,dist=euclidean,preprocess=None)",0.816504402,0.648614349,0.820053995,0.615617536
"(k=11,features=MFCC,dist=dtw,preprocess=None)",0.811079622,0.709454798,0.812509264,0.672989472
"(k=15,features=MFCC,dist=dtw,preprocess=features_normalization)",1.022660819,1.092004574,1.062682873,0.999086882
"(k=15,features=MFCC,dist=dtw,preprocess=None)",0.811317075,0.699487832,0.801778937,0.691362072
"(k=11,features=MFCC,dist=dtw,preprocess=speaker_normalization)",0.93305411,0.80047241,0.819791565,0.656052027
"(k=21,features=Mel,dist=dtw,preprocess=None)",0.936834394,0.905973522,0.926676603,0.843395291
"(k=21,features=Mel,dist=euclidean,preprocess=None)",0.890686974,0.760982182,0.954623208,0.747086929
"(k=21,features=MFCC,dist=euclidean,preprocess=features_normalization)",1.002456783,0.831804155,1.015628261,0.768105194
"(k=21,features=MFCC,dist=euclidean,preprocess=speaker_normalization)",0.906082514,0.729525672,0.871823284,0.664415923
"(k=21,features=MFCC,dist=euclidean,preprocess=None)",0.822987919,0.649858672,0.816132585,0.600344235
"(k=21,features=MFCC,dist=dtw,preprocess=features_normalization)",1.012969925,1.05782895,1.062906485,1.00160847
"(k=21,features=MFCC,dist=dtw,preprocess=None)",0.815540132,0.711506472,0.781200488,0.66330478
"(k=15,features=MFCC,dist=dtw,preprocess=speaker_normalization)",0.925581261,0.795820615,0.816198961,0.660391524
"(k=21,features=MFCC,dist=dtw,preprocess=speaker_normalization)",0.930739991,0.770215801,0.791151178,0.646357085
min_val,0.811079622,0.619694619,0.781200488,0.600344235
